70	1757	325	2168	1972	2054	667	236	2305	632	27	2117	2231	353	1537	239	2288	2321	234	236	2102	500	1575	355	775	165	450	2350	2336	375	2208	623	317	2326	1643	2078	1924	1492	592	599	2117	2285	226	28	2047	2024	211	1886	230	2289	2101	1869	1241	1214	1716	2311	1195	1897	1747	1689	2218	50	270	2029	1075	2329	370	2117	636	1588	2085	28	734	829	1537	1808	775	2236	6	1195	486	740	1294	514	2328	1352	875	1799	198	1143	49	1924	243	230	835	330	240	370	494	1869	247	48	1972	2336	1514	2096	733	2311	1405	2294	1014	1762	2205	256	1257	2322	65	1119	1944	2287	2289	429	63	1969	2311	1934	2322	1592	575	676	171	28	1940	1253	20	2321	1751	881	1437	455	975	1130	1761	1376	2163	47	2141	2285	684	371	328	2082	714	1294	333	27	821	387	281	1924	546	1784	461	257	1213	2345	97	505	884	2326	359	1872	1866	1897	819	902	472	232	1769	5	2176	1828	1703	5	153	442	1561	1816	1961	2297	30	463	2323	1463	520	2115	2192	635	2035	1813	1900	642	1652	1265	2322	2000	2285	944	1608	415	2162	2164	310	1914	920	2307	539	837	1368	159	2078	2126	68	1684	27	2115	1224	284	332	370	1265	1967	522	2092	2028	787	2322	655	28	1923	1230	1784	2321	330	374	160	1894	2025	541	236	85	63	1115	282	2060	2191	343	1041	1458	1966	438	156	657	1004	492	1229	1424	1397	1547	1304	1819	1946	2199	1110	1114	484	1439	1117	2321	1209	547	1629	2236	1457	1147	2063	2207	1235	717	364	2306	2101	366	1105	1455	420	919	744	1847	610
2077	1839	116	321	1999	24	1084	302	43	1525	28	2179	2261	1752	2038	1814	2329	2237	2259	302	2145	1239	498	1946	99	40	901	1	2260	605	1440	163	427	2258	455	94	2047	747	2018	1692	2179	2287	2194	27	1924	1974	206	1607	2344	2309	2080	497	1632	1336	370	2265	1245	1437	1416	1757	0	12	1913	2219	1691	67	1716	2179	835	1608	344	2286	2155	935	2038	82	1243	117	2028	453	1724	1582	1407	373	123	2068	764	358	2036	669	2177	96	735	2344	819	2157	720	1716	402	2156	1970	235	2025	2260	1570	2100	556	13	845	77	341	1620	410	2100	1566	2229	2307	1455	1889	2288	154	1982	2235	97	2265	593	2312	1141	399	1646	2245	27	607	200	2307	2237	1969	468	1897	1643	1088	1265	1573	313	2275	92	2270	2287	969	1580	138	25	376	1014	747	28	2174	1475	438	96	1642	1775	1913	238	999	2310	272	1845	2224	2258	439	679	379	937	835	891	2087	31	1616	26	2029	126	426	2322	154	1992	1649	481	504	2235	2310	442	67	1616	830	2005	595	639	399	1838	1277	924	1985	1130	2229	1750	2287	525	578	2088	2230	6	360	409	1461	2306	707	945	650	58	29	374	44	449	28	2035	1826	971	1801	2091	1130	2206	857	1993	2160	1962	2229	607	27	1749	1797	1775	74	2227	2126	2070	1928	1972	1075	2303	1355	2235	584	351	1029	508	111	537	1008	359	2138	2345	198	1366	491	558	1706	1125	538	964	1873	2053	2341	1937	1058	2045	1833	670	74	1487	2146	1351	51	1705	814	1903	2171	867	659	474	2307	2269	863	1162	1119	1762	671	967	424	723
2203	1500	2182	71	2025	2184	1083	2303	2309	1836	2261	170	78	400	1740	1051	2232	437	2295	2303	248	1376	1476	2238	1856	204	1935	193	120	2099	1073	1437	418	2344	439	155	96	1307	1686	2205	170	2346	2168	2261	96	2339	13	738	17	2305	2269	2156	736	594	2091	13	719	127	1887	1839	16	1923	1580	2176	541	68	2091	170	2043	1246	653	27	904	2004	2040	168	1856	51	2346	1245	821	1896	846	1920	150	1577	2239	386	2113	2017	2211	2047	1110	2326	636	2227	1253	2091	278	497	207	1919	62	120	784	256	1337	206	1879	1586	846	1507	599	2096	1486	93	20	1906	1833	2308	122	1663	14	1751	206	263	2289	1210	296	916	2246	2261	655	240	34	1976	97	176	1416	513	696	820	779	1239	1997	34	169	2163	1136	2127	1971	1979	440	1407	1307	2261	1698	283	2241	2056	603	1830	488	304	1583	156	1751	562	995	2344	360	1194	275	1437	636	1126	592	2334	1269	2338	2142	1303	1532	23	122	745	892	1645	616	101	156	237	45	1421	293	2136	2007	1841	2115	160	960	700	1823	1171	93	281	47	1910	2092	1936	2274	2122	416	605	986	2231	483	930	931	438	94	1999	91	2014	2261	399	1160	1701	774	1716	582	196	1532	2046	2121	1963	93	492	2286	1915	1739	1305	1976	2157	1999	197	2171	213	294	2051	1662	64	749	2027	903	2017	1002	640	1233	2225	228	2343	2113	805	436	1425	1902	1173	368	357	587	2032	2331	1493	1506	832	1885	727	274	753	204	2150	117	1873	981	1958	2129	1536	548	311	64	277	808	652	1626	1877	1707	1249	1344	1562
2335	1689	330	1922	62	73	290	280	122	2192	2286	2201	36	98	2040	2279	55	329	2100	280	2257	313	178	2053	1243	547	677	2196	65	1980	1814	1897	528	17	513	15	2056	333	1687	1807	2248	2325	347	66	2022	278	2076	330	2326	43	2052	1722	822	1280	344	187	939	937	127	682	2216	299	1579	172	237	46	292	2201	690	512	1528	2261	112	345	817	1458	1550	189	2164	2130	1720	880	1295	234	75	1000	1380	876	1045	508	2166	2056	1937	17	2223	1977	200	292	329	457	1450	23	374	65	843	1159	2066	2250	445	1698	1015	1677	1807	321	590	2314	45	1626	1888	19	2305	774	171	407	13	2110	15	583	2033	1491	2198	2286	492	833	65	437	407	1695	2255	711	1257	582	1322	500	2095	2308	2134	2200	1138	1579	329	2023	1948	1295	2253	66	1774	941	1750	2167	1806	110	495	524	2173	2264	1969	1765	1524	230	441	1081	378	1945	2043	1760	2154	195	1421	2325	2219	1531	2133	14	2305	707	242	1071	1398	2333	2345	333	21	2188	385	2035	1049	219	2033	1723	718	1316	1378	1874	2314	1865	22	1446	1584	1991	2076	2121	530	1694	1124	36	442	1452	1600	2050	15	213	2258	1006	66	2033	993	664	1982	292	1170	1634	851	2043	2122	788	2314	1940	66	2030	955	1830	274	2282	4	1813	2130	1999	1691	276	318	14	1166	253	336	669	945	1818	1344	853	2290	37	2036	2019	547	1061	1733	1237	1085	1463	862	436	2	356	1505	713	384	1340	250	535	165	1907	189	1761	783	2013	2130	868	1500	529	2288	209	1145	428	1906	729	641	1193	979	1785
208	717	384	2194	374	1973	1156	2051	2289	1052	66	2248	2199	303	1086	772	2337	2242	2052	2051	2347	596	1612	435	1755	2146	1433	192	275	2104	911	2044	1211	230	1995	29	2022	2253	2087	410	2201	47	489	2286	2056	2318	252	384	2258	2324	273	1559	1250	973	292	206	1330	623	1897	1500	2177	1749	1635	231	607	2314	1189	2248	819	1661	687	66	1882	115	900	1740	1755	2181	2122	1330	1774	1497	1014	281	2284	1744	766	1335	746	2191	16	2022	356	2258	2043	432	833	1189	1997	1912	1617	2195	213	462	1011	935	1046	252	1759	1700	1407	1396	1692	431	928	548	27	1681	2097	2331	43	1867	8	404	252	1142	14	1115	2035	526	8	66	1415	1365	2342	250	404	1868	127	1893	474	1170	873	1451	1998	2198	2209	2077	1586	495	437	2075	683	846	1950	2286	1688	445	1809	2301	2175	216	1635	1722	456	2343	404	620	1557	17	217	1004	326	127	1392	335	651	1975	1463	89	231	1187	721	2325	104	539	393	1840	952	4	2264	282	2315	1769	2095	2097	1052	957	2005	197	1647	1092	1767	1127	2163	158	2312	1829	512	972	2077	2028	1225	517	502	67	745	949	974	330	2349	1972	2195	841	2286	2136	1385	1743	2021	246	1171	128	1585	2209	2164	752	2235	294	2261	166	394	216	250	432	62	2226	2036	62	237	302	627	22	1671	2256	613	858	1114	1420	1847	2171	281	2264	746	1530	715	586	730	1956	1845	1421	267	2238	9	735	1563	1834	624	1510	2242	1202	40	2018	2181	1706	1400	2014	2086	1148	1780	590	2299	273	503	1939	1681	1123	1320	1802	1233	1410
2120	1702	281	226	213	148	1447	276	2231	1327	20	2272	67	605	900	1073	2325	1971	2050	276	132	1451	1441	436	1301	439	241	135	0	409	239	129	1268	118	711	2234	2221	936	1252	2183	2272	2337	1922	20	2204	464	2265	438	2161	104	2050	796	1984	2038	246	2076	143	1416	2044	1702	2283	166	495	2142	1940	2313	625	2272	604	1584	1666	20	1298	114	1740	1569	99	1673	2121	939	2268	470	1015	330	2200	1927	1019	162	657	858	2283	2301	1493	69	690	2282	1354	625	381	1722	1395	124	1999	406	839	1104	1028	2076	1377	1587	1294	1144	2183	372	985	603	2329	978	1942	2262	2231	332	80	2137	187	1742	47	1768	2005	1604	80	1361	1075	1354	9	2242	2026	2081	623	1995	1628	1171	395	1069	2049	2161	2093	2162	1027	1635	2242	194	660	341	850	20	486	1855	158	1811	408	1305	1579	212	2105	30	407	368	543	69	496	1248	323	129	2223	1817	261	133	357	46	172	549	1898	2312	121	483	2065	1128	1625	74	2276	238	2330	357	1889	433	2240	2112	2136	1719	1534	1151	649	1170	2201	1809	2293	469	1588	763	2163	33	265	459	956	2259	1954	946	1449	1941	2234	62	2257	1228	20	2005	877	1025	743	2085	1127	1361	1703	1939	6	1032	2125	1415	20	299	1875	110	329	1977	213	1690	2169	4	320	251	1730	2198	1325	2291	1394	1143	1058	2010	1260	1109	158	30	629	1725	604	1846	1179	2111	1765	1616	1684	355	8	243	619	825	305	1459	1976	1033	711	1961	1807	1930	1569	1904	2238	1093	600	928	88	2158	2109	2034	978	1396	926	1521	1008	1729
2214	600	1915	347	2126	130	2190	2351	153	2266	2346	1998	79	2083	1964	1440	2343	1976	2142	2351	403	1069	1448	2032	1495	549	1436	191	326	319	215	937	1931	69	1893	2349	2204	542	472	1757	329	3	71	15	2221	576	2311	358	69	119	277	1912	372	2040	2085	32	1721	2255	771	1162	2211	2030	371	38	655	2307	909	378	2223	1412	1297	2260	1242	2222	1086	1010	1106	1785	2160	719	2174	2069	972	236	10	268	553	855	1714	1339	233	2167	791	2337	1986	380	1365	909	279	796	1673	2327	2126	572	1175	1383	1158	2265	1987	1697	1295	1843	2222	319	560	549	2342	811	1665	2316	2309	72	64	2026	2076	789	5	339	2136	1660	63	1585	237	1157	92	329	2137	2254	937	686	529	1127	1788	555	1944	55	2046	134	580	2252	2237	2079	379	1015	1492	19	1724	388	1865	2185	2251	323	2127	658	2046	2276	2137	1313	2210	118	471	1366	435	623	690	611	1323	229	2188	19	38	1693	851	15	2309	1496	1263	2149	838	206	2343	332	2309	1269	1925	2033	1327	338	296	1777	1184	1541	1820	582	2200	438	28	1895	1412	341	2078	137	1565	1980	1197	79	1992	316	781	281	155	2228	95	587	2233	575	342	997	306	344	1874	1745	1898	1937	190	1003	2080	1691	2331	50	1565	1789	437	380	1972	1746	2086	2228	487	280	1563	8	161	1978	1880	1444	833	676	1261	1273	1865	2276	569	552	493	1090	1403	1002	505	2188	2014	435	2309	1664	695	793	799	448	329	1371	768	837	1862	1593	1120	394	2169	1206	1891	1656	44	2073	531	1702	811	1516	1820	576	1458	1825
2197	682	2073	489	2228	131	1991	251	154	2007	4	2095	2232	2281	817	911	47	274	2004	251	227	555	1196	1916	1106	329	666	152	378	353	466	771	1339	2348	686	2263	2267	850	651	596	237	28	321	14	2267	519	2250	281	2337	122	1917	457	1699	778	625	2250	60	1747	937	1641	2166	2333	2127	1953	294	10	246	275	1392	2092	141	2198	963	1023	1601	1570	938	1784	33	1721	1698	1968	341	2025	2296	1560	823	1411	1477	612	0	2267	1610	2161	1462	2125	523	1190	1998	852	1729	149	2228	515	899	936	308	32	1730	1811	2088	390	2278	227	842	437	19	1428	2098	2315	153	968	52	255	2250	1871	16	749	433	1041	14	1192	294	1533	91	1971	255	1944	1747	1804	1656	1874	1796	777	1942	2162	2094	104	511	270	274	2050	326	972	2134	2287	1720	611	295	109	1581	2078	2252	2169	688	37	327	1085	1697	2348	383	805	2053	1747	1986	1099	2018	189	1304	192	330	2071	2114	16	2231	1442	872	218	1708	296	37	284	2349	964	1364	2144	2055	1519	575	2226	913	534	367	820	2077	295	10	498	1661	1267	2075	2346	1732	1890	564	2261	458	1167	447	384	2247	2025	81	862	103	296	914	1102	1663	1297	820	41	1773	1936	2346	1709	2079	173	44	12	1705	2011	2242	205	2228	1994	1985	2126	655	2351	1506	171	1717	95	1824	1659	891	1276	979	225	295	2310	1045	1872	660	1627	725	1704	1313	1269	1228	2005	18	1026	1310	626	398	1401	437	810	823	725	1751	1648	1234	1789	2132	1207	1892	985	2325	2080	1564	1641	1428	1144	2108	906	1261	1133
103	659	236	2140	4	249	1936	88	121	1049	5	2051	46	175	1601	2208	2318	250	2001	88	2139	568	1218	328	1550	550	1770	56	379	297	1051	572	1852	2337	1804	2247	2167	1020	1212	707	441	2288	275	47	1811	575	32	493	2213	53	2073	852	203	1393	1696	211	2130	2044	2320	1105	2244	1915	2252	2104	1415	3	1190	323	1548	578	292	55	164	1467	1964	1682	1301	1841	2299	143	1864	1529	1267	235	38	2172	768	1470	1520	1852	2249	1811	1279	118	1392	205	1131	2085	382	1469	1789	2119	4	1920	1290	1325	1728	211	1056	1866	972	1123	2251	544	1236	435	10	424	1946	45	104	743	2198	2159	211	1911	2235	665	2144	802	2235	1249	1691	1131	46	186	2159	1998	2044	601	726	355	309	596	2097	154	2092	169	1074	488	2321	2142	378	415	875	2331	1551	1911	271	157	515	275	2220	2128	490	2252	255	538	602	2213	442	1530	2079	163	1462	1422	1278	275	692	193	438	1803	183	2346	2273	1384	1617	790	927	2345	234	441	27	1304	279	575	322	391	433	1779	942	1037	1930	1121	2078	2241	23	442	1246	1014	2079	2160	889	2104	1658	68	1753	585	834	234	2263	4	2196	1957	2274	433	1465	1499	1867	625	360	2006	2133	2093	137	2152	2201	1075	2288	2333	265	2062	1971	2125	2025	1719	1930	18	1940	88	1788	52	742	324	1435	554	1226	1646	424	940	1809	190	681	679	490	1454	1453	1226	620	1769	1006	1838	27	1610	705	1474	2020	1370	2237	1539	655	2015	1752	1479	1731	1957	2267	1007	1839	696	2308	2178	1621	682	1485	1571	1795	961	1260	2009
79	1780	2024	275	2217	2292	1267	1974	9	595	2345	2139	68	1949	778	140	2346	186	1892	1260	1861	1356	223	1970	938	381	1786	659	1	517	772	1416	861	2213	601	2317	2301	1950	1111	710	282	2324	326	5	2301	408	187	411	118	153	2158	524	1360	1601	687	252	453	163	2255	2147	107	2105	461	1954	320	45	2085	379	527	2063	246	2197	1799	2072	1393	1457	1495	1672	190	60	1862	382	1055	2074	2305	970	1307	1882	681	1931	2218	2204	1664	2213	527	105	1727	246	437	1559	1338	2165	18	684	1288	878	680	11	221	1642	415	1571	2279	430	1013	380	2262	1485	1998	2234	119	856	22	272	32	1409	2346	1325	2115	1818	64	1416	173	720	10	274	272	2097	771	439	928	258	1517	2012	2094	2197	2269	1975	1884	1913	186	2052	548	2088	571	2342	2268	335	2304	2267	2093	379	270	1468	200	88	2026	1547	1471	2337	260	2019	2078	1416	482	1544	1140	190	964	279	234	87	1585	4	43	1996	1958	1362	1427	166	2160	329	32	1615	382	399	632	234	2144	2280	2059	980	1928	1513	2162	2304	2325	441	326	1407	2141	2299	266	297	1842	78	1496	419	1182	1996	90	18	30	1819	2232	2144	1523	1137	493	1189	584	1858	656	2094	2299	621	2126	237	19	715	816	1732	328	105	2217	1723	1984	374	607	715	1337	80	1555	2243	1044	1268	1057	1050	978	828	1750	119	1357	1718	716	1622	1172	1057	562	1219	1957	1895	2349	1279	392	1859	291	1960	328	702	880	2065	1920	1650	1204	1960	2084	1680	383	1905	33	2052	1201	1639	979	1507	666	516	811	1072
