40	1795	1531	131	2331	1567	1126	1316	2142	1187	76	713	812	691	631	1847	1211	1442	85	694	1095	564	697	2206	1374	1850	1890	708	682	1294	1368	1042	1499	1330	1227	1157	933	88	513	406	1225	887	151	1745	1481	444	1030	2350	299	1121	49	400	2025	2051	140	2349	1232	510	1204	2225	2282	2344	952	2342	852	1765	1820	306	1428	405	22	64	708	17	85	2341	1750	728	139	40	471	2221	2225	2061	2332	683	517	1750	617	728	638	1512	39	2332	1820	495	644	1764	432	728	266	233	2305	1366	520	1284	1361	411	1047	2094	2186	1445	1917	1858	192	1792	1210	2306	2305	1797	795	1554	2028	583	484	2202	171	1253	1709	252	972	2323	1863	25	1604	683	2165	900	1280	1043	2002	1021	1180	1895	61	1824	578	1558	1527	477
199	505	1473	52	2213	676	899	642	2137	1469	175	771	536	1475	1942	896	1154	1440	1652	760	1262	1899	757	2084	1590	1343	35	1772	569	957	115	759	853	2141	1115	993	720	64	678	460	1239	1015	2050	1354	1981	2220	1086	2290	383	952	71	1634	520	1946	359	2335	503	1351	180	2190	2309	2323	839	2226	741	980	728	2266	1260	1803	3	26	544	1764	560	2350	868	1820	605	12	141	2187	23	560	2339	1192	461	2327	1399	1820	585	733	1539	2339	728	271	1092	638	712	1820	2242	278	2233	1365	821	1620	2237	466	879	1885	2318	1326	1971	742	193	785	1201	2048	1210	1459	1081	1890	1325	1489	1780	146	208	1197	1708	1891	1590	2261	801	2338	1885	515	599	892	1228	594	1807	909	1575	1672	2	1770	523	1503	1475	1658
897	334	1252	1793	2090	1621	842	643	2050	1412	1999	998	751	1415	1211	1961	1210	911	644	970	1151	1956	1036	425	195	1790	77	819	681	1338	1647	703	515	1944	1282	1098	997	118	623	1947	1128	998	2141	1579	113	161	1042	69	515	839	99	1838	654	1949	2041	49	180	1336	1876	23	2256	29	507	73	627	1764	2325	2292	2132	709	2105	2218	828	2333	2061	2322	2302	1617	710	1653	217	1428	2190	447	49	911	407	2311	2187	164	260	1505	2334	108	756	538	1932	764	2071	210	84	1106	1938	1478	467	1506	1587	522	1721	1941	198	1500	1859	686	122	673	1379	2261	2233	1738	963	1723	1807	1198	887	429	168	1247	178	407	195	2306	576	95	1756	347	543	241	1057	1099	1325	964	1240	2055	234	1599	1695	1559	1414	1432
339	1235	973	619	2291	2010	1010	144	254	998	150	271	1037	1919	764	2064	1142	1384	1092	690	1038	2080	310	1984	1766	448	54	803	626	1629	2236	926	740	1331	1055	992	999	151	734	854	1014	1335	1944	849	148	1679	1255	2296	462	507	129	1632	467	1556	2326	84	392	733	1232	951	2288	2306	4	2265	515	645	2346	979	1988	1863	141	118	659	980	447	2348	2280	788	484	2154	1991	1988	2106	1344	99	849	630	125	727	53	640	1687	754	32	109	489	1652	707	936	135	2207	2117	412	1704	1695	900	2310	1993	1774	1829	95	1165	1915	628	123	504	1268	120	92	670	743	573	720	1651	541	238	348	1533	2239	462	382	2344	684	2192	1829	910	881	1512	1115	1278	1579	1074	1281	1951	442	527	1583	735	1304	1087
337	1293	1644	2277	2176	1846	1464	418	211	1447	66	1447	1766	1359	301	2014	1031	1610	141	1374	1205	164	1542	2170	1262	732	76	463	737	1181	1235	2140	966	2095	1114	1473	1333	43	733	404	1183	938	2179	1635	1480	1737	1197	37	375	287	97	946	257	1218	533	71	1204	1113	896	2106	2322	148	31	784	908	2312	2345	142	2221	2077	566	46	486	2254	1652	2351	2311	1563	329	1545	924	617	2158	85	32	856	406	2251	2109	2	471	900	4	49	639	318	85	1268	260	252	2335	232	191	1816	578	1283	1831	254	1075	2047	2227	1611	2026	738	121	391	596	113	67	2112	631	1497	997	1378	605	553	301	1421	1317	688	1603	2114	575	2318	406	403	1920	1346	834	817	1745	1297	1113	249	387	330	859	1728	1417	813
288	2185	1098	1683	2130	1955	1300	2133	154	250	256	996	2135	1529	521	2109	1096	685	1932	1586	1040	1569	218	15	2093	1119	1004	880	1130	1515	334	1095	741	2050	1280	1490	1325	87	677	570	1516	959	1834	1692	2114	1961	994	21	403	31	2349	2186	351	2140	11	99	1876	294	700	953	2036	113	287	2294	740	445	2336	444	755	576	2075	2216	772	2312	1344	2349	2327	1507	548	2303	923	1260	951	1680	1120	685	463	59	1008	76	644	2008	311	99	216	294	361	1379	705	54	2115	2095	1825	1310	1583	1451	144	302	768	1884	2191	1329	1988	908	91	1287	412	148	1201	1796	740	1555	205	584	710	1592	2201	1420	2269	1887	2093	148	401	198	1388	299	1806	1505	1114	762	999	1077	1282	1336	2299	1433	1826	1560	1526	2045
12	1015	1140	838	111	34	1731	1878	232	1134	1921	253	259	1491	463	2063	976	1273	176	2134	1152	1844	2240	2325	972	1068	8	1716	739	1001	1592	982	797	2179	1449	973	1046	26	185	851	1072	1728	1887	1355	2344	2113	807	2257	1775	1337	1568	448	821	994	1654	97	896	789	1597	1849	2203	2261	2334	2006	574	2169	2337	2127	672	1971	2029	1610	712	445	1680	2323	60	1451	381	1429	2174	672	2037	1904	108	1354	462	2320	672	54	1714	1954	1486	1120	358	2234	1344	1545	2026	77	2116	2230	275	1703	1714	1508	1888	746	382	2095	2235	1557	1862	1665	2228	2253	1590	2323	191	2016	1074	1834	608	635	2078	2276	13	1251	1427	1664	384	29	853	6	1274	1271	2198	239	1404	1057	436	908	1072	2007	1965	1767	806	1782	1138	261
1653	48	1155	1230	2298	237	1009	532	2094	623	441	1158	1095	379	1195	2110	1208	1326	259	1936	1037	2144	868	36	1088	1787	36	1496	1018	1347	2166	870	460	883	1225	1644	205	150	845	964	1127	1293	55	1634	977	368	1143	2175	597	1391	2335	1463	934	1611	112	2242	1596	845	1596	242	138	2114	1121	2188	743	219	2342	2268	1008	302	153	2143	605	2153	1092	2344	160	292	690	2222	640	727	2237	361	129	1024	573	160	2221	10	764	1758	1874	97	258	432	1680	930	2286	172	179	2159	1700	1984	936	1507	1946	2157	826	1940	2298	1724	2074	1833	300	125	2305	1480	496	282	857	1386	1465	2039	293	2277	173	1154	750	2050	596	120	795	58	2022	1779	2197	1348	1423	1423	820	663	1334	1977	139	2042	934	681	1532	1659
1429	89	1660	1284	2338	2127	1843	926	135	1184	2283	235	650	1132	173	1902	1371	1724	260	1602	982	1565	2311	1117	2273	563	1497	1547	457	1337	1705	1038	967	55	1053	1531	436	2287	567	907	1238	1216	2095	1746	29	2266	1253	2228	1779	1338	290	25	1858	1390	1203	1973	1597	566	503	1789	2205	2009	1902	1009	799	2040	2339	2328	2187	278	2145	2177	827	2169	361	1	2155	451	1998	199	1880	1399	389	1932	97	684	629	60	1353	77	474	43	31	71	470	829	1904	763	525	76	2349	2196	748	1117	1101	1563	418	211	1667	1772	25	849	755	1606	209	2251	1825	2114	1590	950	576	1836	846	1190	653	1367	459	1302	1148	1888	1884	113	740	80	1803	248	1805	1573	1060	872	2120	1075	1166	372	285	2176	1697	567	1190	2131
1545	454	1640	453	2042	101	1402	2237	1720	1167	251	351	1311	1994	1143	180	1263	1888	261	139	1261	734	1877	2113	1261	165	1554	1437	458	1687	2035	1037	798	409	1339	1660	1839	66	846	514	1352	1701	2161	736	529	2127	2051	132	347	4	1736	1976	2027	1326	2238	2116	700	734	392	2037	2193	2121	39	1843	798	17	2324	2129	727	689	2250	327	661	1765	644	9	1540	450	56	897	413	1008	1427	1652	1568	625	575	2240	1577	35	526	1900	1818	1568	359	317	2061	1932	215	297	756	2157	1774	987	991	1732	1887	1660	828	2213	1787	1499	1694	570	157	2320	591	1206	1379	2193	1021	1665	2121	587	90	1450	2003	1211	1587	1833	1966	2121	1977	2186	1664	800	2200	1171	1055	1142	1411	852	832	2146	56	528	991	1615	1362	761
1903	293	746	2276	176	561	1524	2310	2297	713	443	1645	1537	1363	1077	1681	1039	459	140	483	1374	2147	2327	182	1655	954	18	577	1186	1741	367	1940	573	769	1111	746	1465	27	454	628	1163	454	409	1023	2306	1964	1421	223	2099	1902	1636	1894	936	1444	1318	129	1847	1812	1847	389	2210	205	2152	286	965	615	2291	416	1714	795	0	88	604	2040	1932	2295	218	955	2	127	867	755	242	1092	1901	848	686	2280	1755	36	1764	241	421	1398	214	2084	560	1708	213	254	1913	330	92	949	934	1450	2133	803	877	1604	1964	989	2187	1975	214	60	315	1375	1268	1570	799	1891	1839	422	1615	354	159	1210	2037	403	1379	2322	1746	226	1104	911	109	1350	1910	1085	720	1497	1227	320	2314	469	520	1669	1415	1823
